Result_ID	Unique_Seq_ID
1	1
2	2
3	1
4	3
5	4
6	5
7	6
8	7
9	7
10	8
11	9
12	10
13	11
14	12
15	13
16	14
17	15
18	16
19	17
20	18
21	19
22	20
23	2
24	21
25	22
26	23
27	24
28	25
29	26
30	27
31	28
32	11
33	29
34	30
35	31
36	32
37	33
38	34
39	35
40	36
41	37
42	38
43	39
44	40
45	41
46	42
47	43
48	44
49	45
50	43
51	46
52	47
53	48
54	49
55	50
56	51
57	26
58	52
59	53
60	54
61	55
62	56
63	1
64	51
65	57
66	53
67	58
68	59
69	60
70	61
71	62
72	63
73	64
74	31
75	65
76	66
77	62
78	59
79	67
80	68
81	69
82	70
83	71
84	72
85	73
86	74
87	75
88	76
89	77
90	78
91	79
92	80
93	68
94	81
96	82
97	83
98	84
99	53
100	43
101	85
102	86
103	87
104	88
105	77
106	62
107	89
108	90
109	12
110	91
111	59
112	92
113	93
114	16
115	94
116	95
117	50
118	54
119	96
120	90
121	97
122	43
123	98
124	99
125	97
126	100
127	101
128	102
129	103
130	104
131	23
132	105
133	106
134	50
135	45
136	107
137	108
138	109
139	110
140	111
141	112
142	74
143	113
144	114
145	115
146	116
147	60
148	117
149	97
150	118
151	119
152	120
153	121
154	122
155	123
156	124
157	125
158	126
159	127
160	61
161	50
162	128
163	129
164	130
165	131
166	53
167	132
168	133
169	83
170	56
171	53
172	134
173	135
174	136
175	137
176	138
177	139
178	140
179	94
180	141
181	142
182	143
183	144
184	145
185	146
186	147
187	148
188	149
189	150
190	151
191	152
192	153
193	154
194	53
195	155
196	150
197	156
198	157
199	158
200	150
201	159
202	160
203	161
204	162
205	163
206	164
207	72
208	165
209	166
210	167
211	168
212	169
213	102
214	108
215	170
216	171
217	172
218	173
219	174
220	175
221	176
222	86
223	177
224	98
225	178
226	179
227	180
229	181
230	48
231	152
232	182
233	183
234	43
235	184
236	150
237	136
238	185
239	186
240	187
241	188
242	2
243	189
244	190
245	191
246	5
247	192
248	193
249	194
250	195
251	196
252	197
253	198
254	199
255	200
256	43
257	201
258	202
259	203
260	204
261	141
262	205
263	151
264	206
265	207
266	97
267	208
268	209
269	210
270	211
271	212
272	126
273	213
274	214
275	215
276	216
277	150
278	217
279	218
280	197
281	53
282	219
283	220
284	197
285	221
286	222
287	223
288	224
289	225
290	226
291	227
292	9
293	7
294	43
295	228
296	217
297	229
298	230
299	231
300	232
301	233
302	112
303	201
304	234
305	193
306	235
308	104
309	236
310	84
311	20
312	237
313	238
314	239
315	240
316	241
317	242
318	243
319	208
320	53
321	244
322	245
323	246
324	247
325	118
326	157
327	97
328	248
329	249
330	250
331	251
332	252
333	253
334	86
335	254
336	255
337	256
338	257
339	258
340	21
341	259
342	150
343	260
344	261
345	262
346	263
347	264
348	265
349	266
351	267
352	268
353	43
354	269
355	50
356	150
357	270
358	271
359	272
360	53
361	273
362	274
363	275
364	276
365	43
366	277
367	93
368	278
369	279
370	280
371	45
372	150
373	281
374	282
375	283
376	284
377	285
378	150
379	286
380	287
381	288
382	50
383	289
384	290
385	61
386	291
387	292
388	293
389	294
390	295
391	296
392	297
393	298
394	299
395	300
396	301
397	302
398	199
399	303
400	304
401	50
402	305
403	306
404	43
405	90
406	307
407	308
408	309
409	310
410	226
411	311
412	312
413	47
414	10
415	313
416	314
417	315
418	316
419	317
420	318
421	319
422	272
423	320
424	321
425	319
426	322
427	53
428	53
429	323
430	163
431	53
432	324
433	325
434	326
435	43
436	327
437	199
438	328
439	329
440	330
441	190
442	150
443	331
444	332
445	333
446	334
447	335
448	150
449	336
450	337
451	338
452	339
453	340
454	129
455	341
456	342
457	343
458	344
459	275
460	345
461	53
462	346
463	347
464	348
465	349
466	350
467	97
468	351
469	181
470	352
471	78
472	353
473	354
474	216
475	68
476	355
477	301
478	356
479	357
480	358
481	257
482	52
483	359
484	360
485	151
486	361
487	336
488	362
489	363
490	364
491	365
492	366
493	367
494	61
495	368
496	369
497	370
498	371
499	372
500	81
502	373
503	374
504	121
505	375
506	376
507	377
508	378
509	379
510	380
511	317
512	381
513	382
514	70
515	383
516	384
517	385
518	78
519	386
520	387
521	199
522	388
523	16
524	389
525	390
526	50
527	391
528	66
529	392
530	393
531	394
532	395
533	396
534	30
535	397
536	398
537	399
538	53
539	400
540	345
541	401
542	402
543	120
544	241
545	403
546	404
547	170
548	405
549	289
550	406
551	407
552	408
553	409
554	301
555	410
556	411
557	412
558	413
559	414
560	415
561	416
562	417
563	418
564	43
565	419
566	160
567	241
