Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		3308.5202
2	0		3727.72045
3	0		4334.12417
4	0		3235.68354
5	0		3574.71088
6	0		3085.4488
7	0		3162.57914
8	0		3028.65554
9	0		2981.50341
10	0		3403.77678
11	0		3318.72152
12	0		2889.50956
13	0		3340.73755
14	0		3347.62048
15	0		3409.63797
16	0		3101.52388
17	0		3058.54322
18	0		2496.14123
19	0		3127.58378
20	0		3287.57083
21	0		3415.49846
22	1	Plus1Oxy:2	2986.56971
23	0		2858.36111
24	0		3162.60582
25	0		4333.34657
26	0		2722.38595
27	0		3266.71538
28	0		2780.17352
29	0		3569.75776
30	0		3124.49378
31	0		3576.7847
32	0		3125.77118
33	0		2893.41797
34	0		3780.80133
35	0		2777.47105
36	0		2677.38224
37	0		3138.62042
38	1	Plus1Oxy:12	3465.59862
39	0		3314.70864
40	0		2621.35219
41	0		2457.27097
42	0		3352.73736
43	0		3935.92965
44	0		3333.64168
45	0		3025.53636
46	0		3943.99877
47	0		3258.63665
48	0		3675.8028
49	0		2632.28418
50	0		2875.43506
51	0		3180.59123
52	0		3385.75499
53	0		3276.63348
54	0		3278.53661
55	0		2977.42384
56	0		3339.6774
57	0		2765.38053
58	0		3441.66281
59	0		2775.41652
60	0		2638.29945
61	0		2478.14592
62	0		3334.73485
63	0		3368.60602
64	0		2911.53769
65	0		2801.38705
66	0		3149.65819
67	0		2984.44357
68	0		2970.5748
69	0		2920.37788
70	0		2944.39651
71	0		3158.61474
72	0		2364.08821
73	0		3176.64325
74	0		2951.52387
75	0		2582.43922
76	0		2368.20217
77	0		3228.80801
78	0		2311.08616
79	0		2915.47759
80	0		3249.67423
81	0		2716.29073
82	0		3306.63415
83	0		2730.51661
84	0		3735.83872
85	0		2635.35392
86	0		3304.73821
87	0		2510.23617
88	0		3256.59401
89	0		2850.41803
90	0		2741.37313
91	0		3118.53985
92	0		2895.35365
93	0		3336.70473
94	0		3099.53741
95	0		3082.52996
96	0		2431.12907
97	0		2860.58227
98	0		2617.28451
99	0		2306.17529
100	0		2303.16526
101	0		2642.41254
102	0		2633.26953
103	1	Plus1Oxy:1	3135.61692
104	0		3113.45514
105	0		2725.41863
106	0		2793.37207
107	0		3588.87993
108	0		2747.44273
109	0		3114.61368
110	0		2873.47508
111	0		3249.6224
112	0		2606.24088
113	0		3215.61058
114	0		2910.41466
115	0		2840.40535
116	0		3057.49517
117	0		2412.22972
118	0		2817.55266
119	0		4484.18909
120	0		2508.36989
121	0		2672.39477
122	1	Plus1Oxy:2	2581.22634
123	0		2619.35564
124	0		3135.51476
125	0		2383.11197
126	0		2471.31311
127	0		2499.29766
128	0		2834.435
129	0		2616.31238
130	0		2739.21213
131	0		2630.34513
132	0		2640.24635
133	0		2788.31317
134	0		3313.75162
135	0		2864.49721
136	0		3158.59652
137	0		3196.46576
138	0		2516.36375
139	1	Plus1Oxy:1	2379.13502
140	0		3274.62907
141	0		3508.86631
142	0		2925.37141
143	1	Plus1Oxy:21	2368.33985
144	0		2550.2713
145	0		2687.27857
146	0		2394.269
147	0		2816.35504
148	0		2556.23559
149	0		3406.61044
150	0		3094.48168
151	0		2565.23143
152	0		3586.75379
153	0		2665.44378
154	0		2215.96168
155	0		2728.43558
156	0		2939.46839
157	0		4175.07776
158	0		2420.11732
159	0		3024.59776
160	0		2467.18726
161	0		3501.74144
162	0		3185.62967
163	0		2719.41546
164	0		2309.2313
165	0		2696.31145
166	0		3279.6558
167	0		2638.29474
168	0		3356.78392
169	0		2886.32816
170	1	Plus1Oxy:3	3174.59143
171	0		3345.54176
172	0		2140.05076
173	0		2793.61151
174	0		3308.75559
175	0		2475.15998
176	0		2178.10682
177	0		2602.43691
178	0		2616.3845
179	0		3333.77399
180	0		3244.63626
181	0		2814.41216
182	0		3358.7077
183	0		2650.25183
184	0		2622.2167
185	0		2417.26635
186	0		3591.87174
187	0		2867.29067
188	0		2358.15378
189	0		3104.67561
190	0		3184.50551
191	0		2626.24846
192	0		2475.29679
193	0		3015.60278
194	0		2725.37775
195	0		3428.81897
196	0		2480.34262
197	0		2392.2134
198	0		2923.34051
199	0		3151.68104
200	0		2872.48167
201	0		2212.18104
202	0		2163.06675
203	0		2902.56251
204	0		2059.1061
205	0		1986.93407
206	0		3253.68171
207	0		3425.59849
208	0		2278.17048
209	0		3078.44636
210	0		2605.3209
211	0		2124.0738
212	0		2586.31758
213	0		3323.74807
214	0		2675.26013
215	0		2354.11462
216	0		2352.28003
217	0		2980.39136
218	1	Plus1Oxy:5	3075.46801
219	0		3551.80674
220	0		2822.41591
221	1	Plus1Oxy:6	3129.45005
222	0		2339.1691
223	0		2321.16506
224	1	Plus1Oxy:1	2874.35602
225	0		2655.45943
226	0		2456.34599
227	0		2766.46783
228	0		2669.30439
229	0		2547.30889
230	0		2498.25863
231	0		3444.6982
232	0		2551.32809
233	0		2604.36989
234	0		2831.434
235	0		2104.04758
236	0		2602.42165
237	0		3545.85166
238	0		2217.05572
239	0		2509.26002
240	0		3404.65701
241	0		2355.34123
242	0		3269.83456
243	0		2126.15906
244	0		2168.08206
245	0		2189.11878
246	0		2636.36263
247	0		2480.22944
248	0		2381.16593
249	0		2843.37967
250	0		2393.19894
251	0		2681.38792
252	0		3014.53564
253	0		2533.35794
254	0		2627.24621
255	0		2669.39445
256	0		2176.20033
257	0		2921.46703
258	0		2636.42847
259	0		3069.47184
260	0		2412.20323
261	0		2100.10029
262	0		2492.14544
263	0		3024.49013
264	0		2565.20581
265	0		2560.25968
266	0		2389.18138
267	0		2361.04679
268	0		2374.16512
269	0		2021.90377
270	0		2066.92629
271	0		2631.36553
272	0		2983.73334
273	0		2443.30313
274	0		3320.62062
275	0		2715.46077
276	0		2413.2344
277	0		3179.629
278	0		3225.71398
279	0		2695.49073
280	0		3642.99698
281	0		2438.26266
282	0		2083.13125
283	0		3120.55868
284	0		2436.09223
285	0		3038.51548
286	0		3242.57049
287	0		2972.44107
288	0		2843.51397
289	0		2283.08404
290	0		3209.55153
291	0		2528.36962
292	0		2445.26847
293	0		1910.9712
294	0		2620.28551
295	0		2354.16876
296	0		2416.22866
297	0		2598.40495
298	0		2930.44827
299	0		2897.42344
300	0		2194.09051
301	0		2352.34493
302	0		2382.29059
303	0		2111.01298
304	0		2976.43982
305	0		2240.18738
306	0		2551.37437
307	0		2850.4908
308	0		2376.16301
309	0		2332.09302
310	0		2452.12404
311	0		2312.05307
312	0		3237.46332
313	0		3003.55517
314	0		2256.13601
315	0		2777.31178
316	0		2350.24325
317	0		3553.71121
318	0		2065.13931
319	0		2675.39914
320	0		2090.06563
321	0		3273.57228
322	0		2240.15483
323	0		2599.27395
324	0		3032.54283
325	0		2332.17318
326	0		2421.30015
327	0		2611.45837
328	0		3624.81322
329	0		3031.56468
330	0		3261.48444
331	0		2229.99595
332	0		2414.3168
333	0		2482.18961
334	0		2677.22634
335	0		3779.82855
336	0		2457.14961
337	0		2277.18263
338	0		2677.44781
339	0		3064.67686
340	0		2225.15516
341	0		3258.58654
342	0		2136.00236
343	0		3333.60983
344	0		2261.19021
345	0		2153.00329
346	0		2259.14691
347	0		2851.44246
348	0		1863.92419
349	0		2911.44966
350	0		2181.17926
351	0		3294.56138
