Dataset	ScanNumber	AGC	Micro Scan Count	Ion Injection Time (ms)	Scan Event	Master Index	Elapsed Scan Time (sec)	Charge State	Monoisotopic M/Z	MS2 Isolation Width	FT Analyzer Settings	FT Analyzer Message	FT Resolution	Conversion Parameter B	Conversion Parameter C	Collision Mode	Scan Filter Text	Source Voltage (kV)	Source Current (uA)	Source Temp (°C)
323682	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
323682	2	Predicted	4	7.061	2	1	0.49	3	915.7809	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 916.12@cid35.00 [240.00-2000.00]	1.81	0.40	159.70
323682	3	Predicted	4	7.848	3	1	0.49	4	897.6937	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 898.20@cid35.00 [235.00-2000.00]	1.81	0.40	159.70
323682	4	Predicted	4	8.520	4	1	0.50	4	774.6243	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 774.88@cid35.00 [200.00-2000.00]	1.81	0.40	159.70
323682	5	Predicted	4	13.259	5	1	0.51	3	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 885.42@cid35.00 [230.00-2000.00]	1.81	0.40	159.70
323682	6	Predicted	4	31.073	6	1	0.41	1	413.2653	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 413.27@cid35.00 [100.00-425.00]	1.81	0.40	159.70
323682	7	Predicted	4	18.647	7	1	0.53	3	1096.2505	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1096.59@cid35.00 [290.00-2000.00]	1.81	0.40	159.70
323682	8	Predicted	4	15.238	8	1	0.52	4	820.1667	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 820.66@cid35.00 [215.00-2000.00]	1.81	0.39	160.03
323682	9	Predicted	4	12.577	9	1	0.51	6	803.6099	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 803.95@cid35.00 [210.00-2000.00]	1.81	0.39	160.03
323682	10	Predicted	4	39.565	10	1	0.44	1	401.3407	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 401.34@cid35.00 [100.00-415.00]	1.81	0.39	160.03
323682	11	Predicted	4	15.845	11	1	0.53	6	643.3436	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 643.34@cid35.00 [165.00-2000.00]	1.81	0.39	160.03
323682	12	On	3	3.632	1	0	2.57	4	446.2393	0	T=1e6 PvR=2e4 iWf	MCal=3d RF=2300V	60000	47511719.987	-5072958.789		FTMS + p NSI Full ms [400.00-2000.00]	1.81	0.33	160.15
323682	13	Predicted	4	8.305	2	1	0.48	4	446.2396	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 446.49@cid35.00 [110.00-1800.00]	1.81	0.37	160.27
323682	14	Predicted	4	27.816	3	1	0.58	7	689.2386	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 689.38@cid35.00 [175.00-2000.00]	1.81	0.37	160.27
323682	15	Predicted	4	39.198	4	1	0.62	3	725.7383	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 726.07@cid35.00 [185.00-2000.00]	1.81	0.37	160.27
323682	16	Predicted	4	55.869	5	1	0.69	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 720.12@cid35.00 [185.00-2000.00]	1.81	0.46	159.91
323682	17	Predicted	4	49.551	6	1	0.66	5	964.5337	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 964.73@cid35.00 [255.00-2000.00]	1.81	0.46	159.91
323682	18	Predicted	4	37.733	7	1	0.62	5	504.8810	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 504.88@cid35.00 [125.00-2000.00]	1.81	0.46	159.91
323682	19	Predicted	4	48.787	8	1	0.66	4	746.8825	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 746.88@cid35.00 [195.00-2000.00]	1.81	0.37	159.76
323682	20	Predicted	4	35.858	9	1	0.59	3	594.6495	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 594.65@cid35.00 [150.00-1795.00]	1.81	0.37	159.76
323682	21	Predicted	4	66.379	10	1	0.55	1	419.3148	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 419.31@cid35.00 [105.00-430.00]	1.81	0.37	159.76
323682	22	Predicted	4	42.286	11	1	0.61	3	585.3088	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 585.64@cid35.00 [150.00-1770.00]	1.81	0.43	159.79
323682	23	On	3	4.569	1	0	2.58	1	413.2655	0	T=1e6 PvR=2e4 iWf	MCal=3d RF=2300V	60000	47511719.987	-5072958.789		FTMS + p NSI Full ms [400.00-2000.00]	1.81	0.43	159.79
323682	24	Predicted	4	78.469	2	1	0.60	1	406.2788	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 406.28@cid35.00 [100.00-420.00]	1.81	0.40	159.91
323682	25	Predicted	4	66.076	3	1	0.72	3	921.7870	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 921.79@cid35.00 [240.00-2000.00]	1.81	0.40	159.91
323682	26	Predicted	4	94.362	4	1	0.80	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 517.39@cid35.00 [130.00-1565.00]	1.81	0.39	160.12
323682	27	Predicted	4	90.939	5	1	0.81	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1284.21@cid35.00 [340.00-2000.00]	1.81	0.39	160.12
323682	28	Predicted	4	100.000	6	1	0.84	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1674.97@cid35.00 [450.00-2000.00]	1.81	0.39	160.12
323682	29	Predicted	4	90.452	7	1	0.76	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 441.30@cid35.00 [110.00-1335.00]	1.81	0.44	160.18
323682	30	Predicted	4	100.000	8	1	0.86	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 971.99@cid35.00 [255.00-2000.00]	1.81	0.44	160.18
323682	31	Predicted	4	100.000	9	1	0.86	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 923.44@cid35.00 [240.00-2000.00]	1.81	0.44	160.03
323682	32	Predicted	4	100.000	10	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1350.82@cid35.00 [360.00-2000.00]	1.81	0.44	160.03
323682	33	Predicted	4	49.262	11	1	0.65	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1197.59@cid35.00 [315.00-2000.00]	1.81	0.39	159.91
323682	34	On	3	5.383	1	0	2.58	1	413.2656	0	T=1e6 PvR=2e4 iWf	MCal=3d RF=2300V	60000	47511719.987	-5072958.789		FTMS + p NSI Full ms [400.00-2000.00]	1.81	0.39	159.91
323682	35	Predicted	4	93.969	2	1	0.67	1	467.3859	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 467.39@cid35.00 [115.00-480.00]	1.81	0.42	160.00
323682	36	Predicted	4	93.794	3	1	0.76	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 411.09@cid35.00 [100.00-1245.00]	1.81	0.42	160.00
323682	37	Predicted	4	89.467	4	1	0.82	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 773.48@cid35.00 [200.00-2000.00]	1.81	0.45	160.27
323682	38	Predicted	4	84.126	5	1	0.75	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 483.38@cid35.00 [120.00-1465.00]	1.81	0.45	160.27
323682	39	Predicted	4	100.000	6	1	0.71	1	675.5172	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 675.52@cid35.00 [175.00-690.00]	1.81	0.44	159.70
323682	40	Predicted	4	72.565	7	1	0.74	3	609.3629	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 609.36@cid35.00 [155.00-1840.00]	1.81	0.44	159.70
323682	41	Predicted	4	100.000	8	1	0.84	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1392.27@cid35.00 [370.00-2000.00]	1.81	0.44	159.70
323682	42	Predicted	4	100.000	9	1	0.83	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1910.04@cid35.00 [515.00-2000.00]	1.81	0.47	159.70
323682	43	Predicted	4	87.657	10	1	0.80	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1296.39@cid35.00 [345.00-2000.00]	1.81	0.47	159.70
323682	44	Predicted	4	100.000	11	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1364.56@cid35.00 [365.00-2000.00]	1.81	0.46	159.85
323682	45	On	3	6.390	1	0	2.58	1	413.2654	0	T=1e6 PvR=2e4 iWf	MCal=3d RF=2300V	60000	47511719.987	-5072958.789		FTMS + p NSI Full ms [400.00-2000.00]	1.81	0.46	159.85
323682	46	Predicted	4	58.811	2	1	0.66	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1974.20@cid35.00 [530.00-2000.00]	1.81	0.40	160.12
323682	47	Predicted	4	48.088	3	1	0.65	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1038.57@cid35.00 [275.00-2000.00]	1.81	0.40	160.12
323682	48	Predicted	4	100.000	4	1	0.83	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1750.16@cid35.00 [470.00-2000.00]	1.81	0.45	160.12
323682	49	Predicted	4	100.000	5	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1220.56@cid35.00 [325.00-2000.00]	1.81	0.45	160.12
323682	50	Predicted	4	100.000	6	1	0.86	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1065.14@cid35.00 [280.00-2000.00]	1.81	0.45	160.15
323682	51	Predicted	4	100.000	7	1	0.72	1	743.4202	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 743.42@cid35.00 [190.00-755.00]	1.81	0.45	160.15
323682	52	Predicted	4	100.000	8	1	0.84	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1400.60@cid35.00 [375.00-2000.00]	1.81	0.45	160.15
323682	53	Predicted	4	100.000	9	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1310.64@cid35.00 [350.00-2000.00]	1.80	0.51	160.12
323682	54	Predicted	4	100.000	10	1	0.86	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 973.71@cid35.00 [255.00-2000.00]	1.80	0.51	160.12
323682	55	Predicted	4	100.000	11	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1321.78@cid35.00 [350.00-2000.00]	1.81	0.41	160.12
323682	56	On	3	7.814	1	0	2.59	1	413.2654	0	T=1e6 PvR=2e4 iWf	MCal=3d RF=2300V	60000	47511719.987	-5072958.789		FTMS + p NSI Full ms [400.00-2000.00]	1.81	0.41	160.12
323682	57	Predicted	4	100.000	2	1	0.83	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1923.07@cid35.00 [515.00-2000.00]	1.81	0.46	159.82
323682	58	Predicted	4	100.000	3	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1218.66@cid35.00 [325.00-2000.00]	1.82	0.43	159.82
323682	59	Predicted	4	100.000	4	1	0.83	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1868.01@cid35.00 [500.00-2000.00]	1.82	0.43	159.82
323682	60	Predicted	4	100.000	5	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1246.97@cid35.00 [330.00-2000.00]	1.82	0.43	159.82
323682	61	Predicted	4	100.000	6	1	0.83	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1967.90@cid35.00 [530.00-2000.00]	1.81	0.46	160.18
323682	62	Predicted	4	100.000	7	1	0.84	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1669.11@cid35.00 [445.00-2000.00]	1.81	0.46	160.18
323682	63	Predicted	4	100.000	8	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1345.92@cid35.00 [360.00-2000.00]	1.81	0.45	160.24
323682	64	Predicted	4	100.000	9	1	0.84	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1685.62@cid35.00 [450.00-2000.00]	1.81	0.45	160.24
323682	65	Predicted	4	100.000	10	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1314.23@cid35.00 [350.00-2000.00]	1.81	0.51	160.12
323682	66	Predicted	4	100.000	11	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1282.45@cid35.00 [340.00-2000.00]	1.81	0.51	160.12
323682	67	On	3	10.380	1	0	2.59	1	413.2655	0	T=1e6 PvR=2e4 iWf	MCal=3d RF=2300V	60000	47511719.987	-5072958.789		FTMS + p NSI Full ms [400.00-2000.00]	1.81	0.51	160.12
323682	68	Predicted	4	100.000	2	1	0.83	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1698.62@cid35.00 [455.00-2000.00]	1.81	0.45	160.12
323682	69	Predicted	4	100.000	3	1	0.83	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1970.75@cid35.00 [530.00-2000.00]	1.81	0.54	159.76
323682	70	Predicted	4	100.000	4	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1295.15@cid35.00 [345.00-2000.00]	1.81	0.54	159.76
323682	71	Predicted	4	100.000	5	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1359.79@cid35.00 [360.00-2000.00]	1.82	0.47	160.06
323682	72	Predicted	4	100.000	6	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1280.74@cid35.00 [340.00-2000.00]	1.82	0.47	160.06
323682	73	Predicted	4	100.000	7	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1222.87@cid35.00 [325.00-2000.00]	1.81	0.48	159.79
323682	74	Predicted	4	100.000	8	1	0.85	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1331.35@cid35.00 [355.00-2000.00]	1.81	0.48	159.79
323682	75	Predicted	4	100.000	9	1	0.84	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1553.93@cid35.00 [415.00-2000.00]	1.81	0.46	160.03
323682	76	Predicted	4	100.000	10	1	0.83	0	0	2.0			0	0	0	cid	ITMS + c NSI d Full ms2 1819.85@cid35.00 [490.00-2000.00]	1.81	0.46	160.03
