Unique_Seq_ID	Mod_Count	Mod_Description	Monoisotopic_Mass
1	0		784.43303
2	0		1053.61819
3	0		1706.8602
4	0		1948.03922
5	0		2680.17369
6	0		1200.65358
7	0		2729.35404
8	0		2022.19888
9	0		1313.62512
10	0		1307.78122
11	0		1715.86238
12	0		885.51709
13	0		1670.85147
14	0		1512.85511
15	0		1085.61204
16	0		3650.83224
17	0		1575.69484
18	0		924.56437
19	0		2456.34599
20	0		2328.25104
21	0		1620.8293
22	0		2036.01351
23	0		3065.51918
24	0		1244.64004
25	0		1607.76465
26	0		1747.76571
27	0		2128.13495
28	0		1803.92669
29	0		1576.78848
30	0		1946.01483
31	0		2855.47106
32	0		1301.68263
33	0		4589.36914
34	0		4298.21086
35	0		3939.02637
36	0		1383.65259
37	0		4453.24731
38	0		919.47629
39	0		1988.9764
40	0		2102.0544
41	0		2015.9799
42	0		2172.05451
43	0		1988.99753
44	1	Plus1Oxy:3	2004.99244
45	0		3727.72045
46	1	Plus1Oxy:37	3743.71537
47	1	Plus1Oxy:13	3743.71537
48	0		1534.77006
49	0		2642.3485
50	0		2486.2474
51	0		2046.09962
52	0		2174.19457
53	0		1083.52363
54	0		2337.11369
55	1	NH3_Loss:1	2320.08715
56	0		2075.11627
57	0		1907.92642
58	0		1218.53387
59	0		1806.89737
60	0		4334.12417
61	0		1519.75176
62	0		4091.00227
63	0		2832.38297
64	0		2556.23559
65	0		3576.7847
66	0		2793.37207
67	0		2921.46703
68	0		2249.10755
69	0		3624.81322
70	1	Plus1Oxy:32	3640.80814
71	0		1577.80486
72	0		3496.71827
73	0		1896.92906
74	0		2021.90377
75	0		1906.05631
76	0		1678.89294
77	0		2153.03881
78	0		1204.64513
79	0		1041.5818
80	0		2187.07346
81	0		2140.03635
82	0		878.381
83	0		1279.66592
84	0		1208.62881
85	0		3113.45514
86	1	Plus1Oxy:6	3129.45005
87	0		2325.10246
88	0		1877.8907
89	0		654.33768
90	0		2256.17827
91	0		1858.93454
92	1	Plus1Oxy:3	1874.92945
93	0		3895.83145
94	0		884.5443
95	0		2530.26306
96	0		2374.16196
97	1	Plus1Oxy:1	2390.15688
98	0		2602.42165
99	0		2730.51661
100	0		2020.04758
101	0		2148.14254
102	0		3102.52565
103	0		887.41369
104	0		2213.93882
105	0		2911.44966
106	0		3067.55076
107	0		2755.34856
108	0		2911.44966
109	1	Plus1Oxy:6	2927.44458
110	1	Plus1Oxy:6	2771.34347
111	0		1776.91177
112	0		1395.74695
113	0		2652.26411
114	0		3094.48168
115	0		3706.68056
116	0		2305.0248
117	0		905.49702
118	0		1326.63766
119	0		1581.80717
120	0		1082.51312
121	0		3850.88005
122	0		1019.57633
123	0		3442.56217
124	0		1152.6026
125	0		2307.97013
126	0		1694.76478
127	1	Plus1Oxy:2	2307.99529
128	0		2292.00037
129	0		2875.43506
130	0		3008.47256
131	0		1083.59639
132	0		982.54872
133	0		869.46466
134	0		2070.14723
135	0		2223.15344
136	0		3462.80332
137	0		904.50177
138	0		762.42755
139	0		758.41738
140	0		3292.73755
141	0		1504.86125
142	0		868.48402
143	0		2072.04
144	0		2032.01656
145	0		1233.73321
146	0		3316.63963
147	0		1452.74595
148	0		1938.02098
149	0		1708.87835
150	0		1465.74523
151	0		2521.27864
152	0		2393.18369
153	0		1534.76016
154	0		2490.2715
155	0		1898.91572
156	0		1446.699
157	0		1058.56074
158	0		780.52212
159	0		624.42102
160	0		624.42102
161	0		624.42102
162	0		2295.22218
163	0		1919.01248
164	0		1252.63121
165	0		3416.78748
166	0		1157.61139
167	0		1004.60181
168	0		1330.75296
169	0		1146.63179
170	0		2761.40203
171	0		2539.22231
172	0		2133.13904
173	0		924.54324
174	0		2020.91995
175	0		1807.79739
176	0		3650.9194
177	0		2200.22145
178	0		1633.79871
179	0		1176.65021
180	0		2819.55841
181	0		2244.25169
182	0		2372.34665
183	0		2119.19279
184	0		1002.53855
185	0		657.40609
186	0		904.40788
187	0		1339.60841
188	0		867.57929
189	0		1790.93011
190	0		2422.2015
191	0		1902.02098
192	0		1885.88455
193	0		1714.75461
194	0		2649.441
195	0		2769.27031
196	0		2925.37141
197	0		884.49669
198	0		783.44901
199	0		1446.67788
200	0		2320.17971
201	0		3542.73498
202	1	Plus1Oxy:7	3558.72989
203	0		2245.12253
204	0		2214.05855
205	0		2029.02143
206	0		1247.68732
207	0		1282.62268
208	0		1870.03115
209	0		1470.7929
210	0		3090.53305
211	0		1649.89223
212	0		1536.73069
213	0		1584.85445
214	0		2467.19868
215	0		2247.26596
216	0		1617.94531
217	0		1991.99516
218	0		3376.66949
219	0		2261.09969
220	0		2934.4663
221	0		1834.90601
222	0		1479.866
223	0		3936.01615
224	0		1264.75025
225	0		2399.13858
226	0		2641.28049
227	0		1950.95085
228	0		2719.41546
229	0		2762.36223
230	0		999.60763
231	0		3115.58647
232	0		1049.53275
233	0		857.52217
234	0		797.46466
235	0		2414.3168
236	0		2488.28081
237	0		1661.81475
238	0		3337.72733
239	0		2503.27395
240	0		2283.19385
241	0		2553.30735
242	0		3419.67646
243	0		2872.47714
244	0		1780.93317
245	0		1125.63932
246	0		1324.77138
247	0		1196.67643
248	0		1223.72371
249	0		1122.67603
250	0		1009.59198
251	0		1802.8798
252	0		2744.32942
253	1	Plus1Oxy:23	2760.32433
254	1	Plus1Oxy:9	2760.32433
255	0		645.34858
256	0		1248.69399
257	0		1490.83187
258	1	Plus1Oxy:11	1506.82679
259	1	NH3_Loss:1	1473.80532
260	0		1117.65351
261	0		863.49385
262	0		2405.20011
263	0		1058.45561
264	0		1257.58767
265	0		1898.99885
266	0		4059.09128
267	0		1074.54192
